seed,early_solver,early_ratio,early_h,early_epochs,early_learning_rate,common_solver,common_ratio,common_h,common_adam_total_epochs,residual_regularization,early_final_objective,early_final_data_mse,switch_common_objective,switch_common_gradient_rms,post_adam_common_objective,post_adam_gradient_rms,final_common_objective,final_common_data_mse,final_common_regularization,final_gradient_norm,final_gradient_rms,final_gradient_max_abs,stationary_grad_rms_threshold,stationary_grad_max_threshold,stationary,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,lbfgs_function_evaluations,lbfgs_accepted,pre_lbfgs_objective,post_lbfgs_candidate_objective,final_objective,final_data_mse,final_regularization,final_n_parameters,rk4_matched_train_mse,rk4_matched_validation_mse,continuous_train_mse,continuous_validation_mse,continuous_extrapolation_mse,continuous_final_mse,continuous_instability_rate,nn_parameter_norm,residual_mse,residual_rel_error,model_vf_mse,model_vf_rel_error,parameter_relative_distance_to_rk4_path,residual_rms_distance_to_rk4_path,residual_relative_distance_to_rk4_path,common_objective_difference_to_rk4_path
0,forward_euler,1,0.05,3000,0.003,rk4,4,0.0125,21000,1e-05,0.05711018186158408,0.054449456218509856,1.9199571761058831,1.714355124285498,0.002679086595015374,0.0007555315391068604,0.002679086595015374,5.0804265505599775e-05,0.002628282329509774,0.05058112965637267,0.0007555315391068604,0.029201825652978255,1e-07,1e-05,False,False,2,ABNORMAL: ,0,17,True,0.002679086595015374,0.002679086595015374,0.002679086595015374,5.0804265505599775e-05,0.002628282329509774,4482,5.0804265505603624e-05,2.953321937306834e-05,5.080426389269942e-05,2.9533197719252344e-05,0.001622301532476856,0.0023619349912136238,0.0,12.186175692506064,0.00017184905230402178,0.011564545634211412,0.0001718490523040213,0.0006215342947674874,0.881781832303911,0.01160755810105328,0.010289582968335586,3.372626274441648e-05
0,heun,1,0.05,3000,0.003,rk4,4,0.0125,21000,1e-05,0.026054296216082035,0.02349548750818651,0.025951178958362298,0.0010864420666321355,0.002752945872695143,0.008050631141508991,0.0026419234973878527,1.326735627719073e-05,0.002628656141110662,0.003571285497038032,5.334437657873082e-05,0.001575775349140683,1e-07,1e-05,False,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,250,273,True,0.002752945872695143,0.0026419234973878527,0.0026419234973878527,1.326735627719073e-05,0.002628656141110662,4482,1.3267356277187292e-05,1.0009587390371354e-05,1.3267357185741295e-05,1.0009586289488944e-05,0.0004306865955396716,0.00042185356436397355,0.0,12.218449678231426,9.668643305014761e-05,0.008674366604001902,9.668643305014686e-05,0.0004662021751916927,0.0739987166167309,0.01609217994886266,0.014232104922645315,7.088936037193778e-05
0,rk4,1,0.05,3000,0.003,rk4,4,0.0125,21000,1e-05,0.025857456933920834,0.023301015722816343,0.025857397622339653,0.0005180131504884583,0.0027128128577597905,0.00475211800238808,0.0027128128577597905,8.420852084588822e-05,0.0026286043369139023,0.31814356433792396,0.00475211800238808,0.151082639373207,1e-07,1e-05,False,False,2,ABNORMAL: ,0,18,True,0.0027128128577597905,0.0027128128577597905,0.0027128128577597905,8.420852084588822e-05,0.0026286043369139023,4482,8.42085208458886e-05,4.3838057102722686e-05,8.420859946439184e-05,4.383811870880995e-05,0.001185093758698363,0.0017492232031434147,0.0,11.97205488158331,0.0003516688868290365,0.01654329357824512,0.000351668886829036,0.000889116151426492,0.0,0.0,0.0,0.0
1,forward_euler,1,0.05,3000,0.003,rk4,4,0.0125,21000,1e-05,0.047695445413067056,0.04502338480370949,1.9054723856507945,1.6771090717252586,0.0027728722187148527,4.365915200584682e-05,0.0027728722187148527,0.00014443784249897903,0.002628434376215874,0.002922881592614336,4.365915200584682e-05,0.0009446480345210138,1e-07,1e-05,False,False,2,ABNORMAL: ,0,15,True,0.0027728722187148527,0.0027728722187148527,0.0027728722187148527,0.00014443784249897903,0.002628434376215874,4482,0.0001444378424989882,6.568047885736485e-05,0.00014443783355480285,6.568053394317827e-05,0.002162516004391277,0.0016014729057179508,0.0,12.530151962093688,0.0017281425426463356,0.03667286031568477,0.0017281425426463341,0.0019709758683459093,0.8092890816659111,0.035278111519441234,0.03128891692840013,0.000131872263194068
1,heun,1,0.05,3000,0.003,rk4,4,0.0125,21000,1e-05,0.021202320577151535,0.018629669797562358,0.021107040674523587,0.001076211743413468,0.0027873921613190103,0.0002956429511775067,0.0026420463684752233,1.397509932623326e-05,0.00262807126914899,0.0028750300758804796,4.2944392760014644e-05,0.001508762427718877,1e-07,1e-05,False,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,250,274,True,0.0027873921613190103,0.0026420463684752233,0.0026420463684752233,1.397509932623326e-05,0.00262807126914899,4482,1.3975099326229637e-05,9.616007877165026e-06,1.3975102867492325e-05,9.616032930896985e-06,0.0006217167251854385,0.0010448325089373548,0.0,12.537634295246733,0.0001609413542445823,0.0111915136608052,0.00016094135424458208,0.0006014857626547462,0.04037376784620764,0.0013570886061450283,0.001195077333486502,1.0464129544386462e-06
1,rk4,1,0.05,3000,0.003,rk4,4,0.0125,21000,1e-05,0.021038614796330568,0.01846848141682232,0.021038563008879532,0.00043321381064112573,0.0027847617745521613,0.001312391011096273,0.0026409999555207847,1.2882548301828096e-05,0.0026281174072189566,0.004788803224443929,7.153046788839715e-05,0.0028486102335167963,1e-07,1e-05,False,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,250,275,True,0.0027847617745521613,0.0026409999555207847,0.0026409999555207847,1.2882548301828096e-05,0.0026281174072189566,4482,1.2882548301833196e-05,8.615718521123406e-06,1.2882552474776515e-05,8.61574756376133e-06,0.0007432553243369173,0.0013729417454311135,0.0,12.509952483323374,0.00014329604177458063,0.01056019895832973,0.00014329604177458003,0.0005675558746340135,0.0,0.0,0.0,0.0
2,forward_euler,1,0.05,3000,0.003,rk4,4,0.0125,21000,1e-05,0.04928552998400862,0.04662257317184703,1.8972828108893085,1.6539197881531362,0.002747801270726532,0.00031197711999056947,0.002747801270726532,0.00012013336342773154,0.0026276679072988005,0.020886163368797266,0.00031197711999056947,0.01011757666013184,1e-07,1e-05,False,False,2,ABNORMAL: ,0,16,True,0.002747801270726532,0.002747801270726532,0.002747801270726532,0.00012013336342773154,0.0026276679072988005,4482,0.00012013336342772075,5.934157587266152e-05,0.00012013333755795271,5.9341550020122404e-05,0.0018594500498516954,0.0018232787244333883,0.0,12.004627037125987,0.0006842876328795848,0.023076734261703705,0.0006842876328795853,0.001240254672215905,0.5406894475481522,0.018422555370814286,0.016451560438837436,9.06834573351019e-05
2,heun,1,0.05,3000,0.003,rk4,4,0.0125,21000,1e-05,0.019645415615656536,0.01707210873594398,0.019561084870165293,0.001060976263109117,0.002887113702067334,0.0011845556392322185,0.0026567768073967168,2.7506422748324842e-05,0.002629270384648392,0.06008037562295777,0.0008974220024920421,0.02890951690065496,1e-07,1e-05,False,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,250,285,True,0.002887113702067334,0.0026567768073967168,0.0026567768073967168,2.7506422748324842e-05,0.002629270384648392,4482,2.750642274831523e-05,1.59794419704548e-05,2.7506407874154387e-05,1.597944733375614e-05,0.0013226291278017554,0.0016958080005788636,0.0,11.985428844243149,0.0002575321310383798,0.014156983120806802,0.0002575321310383799,0.0007608643519893812,0.07350214329944317,0.031021784491122636,0.027560561015373946,0.00018170792066491727
2,rk4,1,0.05,3000,0.003,rk4,4,0.0125,21000,1e-05,0.019498151146822264,0.016927398555554623,0.019498102141204142,0.0004029316764125921,0.002838484728061634,6.406418503214632e-05,0.002838484728061634,0.00021082338283886956,0.0026276613452227643,0.004288952454945131,6.406418503214632e-05,0.0025755353329227123,1e-07,1e-05,False,False,2,ABNORMAL: ,0,15,True,0.002838484728061634,0.002838484728061634,0.002838484728061634,0.00021082338283886956,0.0026276613452227643,4482,0.0002108233828388587,9.015038168714445e-05,0.0002108233738264646,9.015038825175016e-05,0.003246922314733957,0.001757805855483601,0.0,11.83208757625866,0.0015911293061086538,0.03518906608826566,0.0015911293061086538,0.0018912296311923485,0.0,0.0,0.0,0.0
