seed,early_solver,phase,phase_solver,phase_epoch,common_epoch,learning_rate,objective,data_mse,regularization,gradient_norm,gradient_rms,gradient_max_abs,n_parameters
0,forward_euler,initial,forward_euler,0,0,0.0,512.7672139688782,512.7672139687968,8.144795379623792e-11,394.5756824720714,5.893786372458069,381.3739474631813,4482
0,forward_euler,common_rk4_switch,rk4,0,0,0.0,1.9199571761058831,1.917296450462809,0.002660725643074223,114.77220252255684,1.714355124285498,25.42366559773396,4482
0,forward_euler,early_solver_adam,forward_euler,100,0,0.003,47.61765211064601,47.61757226859258,7.984205342865106e-05,8.794586089727742,0.13136494201138588,3.1962654475886394,4482
0,forward_euler,early_solver_adam,forward_euler,200,0,0.003,41.37485213760159,41.37473472597967,0.00011741162192381473,14.048157670759839,0.20983766591831746,4.146522408763046,4482
0,forward_euler,early_solver_adam,forward_euler,300,0,0.003,14.743281901172214,14.742773313702841,0.0005085874693727612,18.58462031348792,0.27759891652394336,4.446822416985268,4482
0,forward_euler,early_solver_adam,forward_euler,400,0,0.003,1.9359082181196774,1.934403842108925,0.0015043760107525598,2.0084286652346024,0.02999994683669262,0.7963763920508652,4482
0,forward_euler,early_solver_adam,forward_euler,500,0,0.003,1.51149470238873,1.509810340639054,0.0016843617496759549,1.363245098384169,0.020362824522886257,0.6352864979123567,4482
0,forward_euler,early_solver_adam,forward_euler,600,0,0.003,1.2094836711743044,1.2076551039637358,0.0018285672105687585,1.0941235904670399,0.01634295014552999,0.4779331882816425,4482
0,forward_euler,early_solver_adam,forward_euler,700,0,0.003,0.9999817045068351,0.9980216965239801,0.001960007982854997,0.9053100930654118,0.013522638435112734,0.3394185634914402,4482
0,forward_euler,early_solver_adam,forward_euler,800,0,0.003,0.8494437485571678,0.8473699455234442,0.0020738030337235,0.7817095733708206,0.01167641452683557,0.3312328760704735,4482
0,forward_euler,early_solver_adam,forward_euler,900,0,0.003,0.7290121508233579,0.7268414477623627,0.0021707030609951646,0.7004642800310659,0.010462851644013723,0.3179149978851756,4482
0,forward_euler,early_solver_adam,forward_euler,1000,0,0.003,0.6207735651256822,0.6185194415417268,0.002254123583955394,0.6438628281854417,0.009617394408892059,0.2890229986457187,4482
0,forward_euler,early_solver_adam,forward_euler,1100,0,0.003,0.5159287471379904,0.5136014771481713,0.002327269989819096,0.6001761684045377,0.008964845730621373,0.24356897239358902,4482
0,forward_euler,early_solver_adam,forward_euler,1200,0,0.003,0.4153455431109914,0.412953356663036,0.0023921864479554003,0.5518842961677339,0.008243508884147297,0.18176672058155038,4482
