group,x_metric,y_metric,n,pearson,log_log_pearson,spearman
all,best_loss,extrapolate_mse,192,0.8198140049311576,0.7141371017802535,0.649979315302607
all,validation_mse,extrapolate_mse,192,0.9868908594997798,0.9422149471611644,0.740997070233025
all,parameter_rel_error,model_vf_rel_error,192,0.17249066646326272,0.07355624702024699,-0.016464680031467872
all,parameter_rel_error,extrapolate_mse,192,0.14922548177167091,0.05452852421474217,0.17932784906274588
all,model_vf_rel_error,extrapolate_mse,192,0.9902807642142286,0.9137766967474781,0.44264913327726996
all,residual_mse,extrapolate_mse,192,0.9545222832675326,0.9137766967474779,0.44264913327726996
all,residual_rel_error,extrapolate_mse,192,0.8028584037810966,0.8172388483950723,0.376047798605648
forward_euler,best_loss,extrapolate_mse,60,0.8142373437172853,0.7385160776394355,0.7495415393164769
forward_euler,validation_mse,extrapolate_mse,60,0.985580995638378,0.9844580513054015,0.9614337315921092
forward_euler,parameter_rel_error,model_vf_rel_error,60,0.24805922743707276,0.0703605231112705,0.05412614615170882
forward_euler,parameter_rel_error,extrapolate_mse,60,0.2096325718976785,0.01128989403766004,0.08958043901083634
forward_euler,model_vf_rel_error,extrapolate_mse,60,0.9888280777961923,0.9557926199885841,0.968657960544596
forward_euler,residual_mse,extrapolate_mse,60,0.9473845398672252,0.955792619988584,0.968657960544596
forward_euler,residual_rel_error,extrapolate_mse,60,0.7036007297547557,0.8092478520565755,0.7854959711030843
forward_euler_ratio1,best_loss,extrapolate_mse,12,0.15164334736039936,0.12179421311034655,0.013986013986013986
forward_euler_ratio1,validation_mse,extrapolate_mse,12,-0.05023117228491222,-0.047847053652790676,0.027972027972027972
forward_euler_ratio1,parameter_rel_error,model_vf_rel_error,12,0.3863204648741653,0.18871088840471786,0.4545454545454546
forward_euler_ratio1,parameter_rel_error,extrapolate_mse,12,0.7686741404340035,0.7990085910473184,0.8741258741258742
forward_euler_ratio1,model_vf_rel_error,extrapolate_mse,12,0.08026573015371222,0.042808074509616025,0.10489510489510491
forward_euler_ratio1,residual_mse,extrapolate_mse,12,0.11550753568032505,0.042808074509615976,0.10489510489510491
forward_euler_ratio1,residual_rel_error,extrapolate_mse,12,-0.7943735408670545,-0.7752106058220966,-0.7062937062937064
forward_euler_ratio2,best_loss,extrapolate_mse,12,0.530707159707599,0.4889637139639506,0.37762237762237766
forward_euler_ratio2,validation_mse,extrapolate_mse,12,-0.8570073754636888,-0.8508280471987375,-0.5034965034965035
forward_euler_ratio2,parameter_rel_error,model_vf_rel_error,12,0.6158773146243199,0.5219622184467185,0.055944055944055944
forward_euler_ratio2,parameter_rel_error,extrapolate_mse,12,0.9529208204309344,0.9265233282886287,0.6293706293706295
forward_euler_ratio2,model_vf_rel_error,extrapolate_mse,12,0.6279779293896662,0.5943569074363049,0.2447552447552448
forward_euler_ratio2,residual_mse,extrapolate_mse,12,0.6494587615252625,0.5943569074363051,0.2447552447552448
forward_euler_ratio2,residual_rel_error,extrapolate_mse,12,-0.8423171944194396,-0.9427162461213353,-0.8741258741258742
forward_euler_ratio4,best_loss,extrapolate_mse,12,-0.17685485619334895,-0.06745755252689149,-0.1258741258741259
forward_euler_ratio4,validation_mse,extrapolate_mse,12,0.09110668177902176,0.08589874168821648,0.2447552447552448
forward_euler_ratio4,parameter_rel_error,model_vf_rel_error,12,-0.04840919485887845,0.02551332073925582,0.44055944055944063
forward_euler_ratio4,parameter_rel_error,extrapolate_mse,12,0.7080579329414367,0.7300268499844011,0.6503496503496504
forward_euler_ratio4,model_vf_rel_error,extrapolate_mse,12,0.31298982148021837,0.32157344375929076,0.5244755244755246
forward_euler_ratio4,residual_mse,extrapolate_mse,12,0.30285875788802824,0.3215734437592911,0.5244755244755246
forward_euler_ratio4,residual_rel_error,extrapolate_mse,12,-0.547103441854753,-0.5696113581906297,-0.3356643356643357
forward_euler_ratio8,best_loss,extrapolate_mse,12,-0.8376045355491415,-0.8101837346774261,-0.7552447552447553
forward_euler_ratio8,validation_mse,extrapolate_mse,12,0.6502192692746104,0.6223988013495259,0.5034965034965035
forward_euler_ratio8,parameter_rel_error,model_vf_rel_error,12,0.637674823325727,0.6807527276054925,0.5524475524475525
