train_interval,extrap_metric,n,param_extrap_log_log_pearson,param_extrap_spearman,vf_extrap_log_log_pearson,vf_extrap_spearman,param_vf_log_log_pearson,param_vf_spearman,matched_vf_n,matched_param_extrap_log_log_pearson,matched_param_extrap_spearman
1.25,covered_ic_extrapolate_mse,10,nan,nan,nan,nan,-0.37027604295460614,-0.19999999999999998,0,nan,nan
2.5,covered_ic_extrapolate_mse,10,0.27580153017403897,0.32121212121212117,0.45497943647172345,0.2727272727272727,0.6089734262550587,0.7818181818181817,0,nan,nan
5.0,covered_ic_extrapolate_mse,10,0.3999284415386331,0.4545454545454545,0.7470391091218225,0.6363636363636362,0.256619069339814,0.17575757575757575,6,0.9680867956108978,0.942857142857143
7.5,covered_ic_extrapolate_mse,10,0.1725134782385338,0.12727272727272726,0.18737737150438113,0.12727272727272726,0.43229172907570035,0.24848484848484845,3,-0.6699194676429975,-0.5
