train_interval,extrap_metric,n,param_extrap_log_log_pearson,param_extrap_spearman,vf_extrap_log_log_pearson,vf_extrap_spearman,param_vf_log_log_pearson,param_vf_spearman,matched_vf_n,matched_param_extrap_log_log_pearson,matched_param_extrap_spearman
1.25,partial_ic_extrapolate_mse,10,0.1158366671494013,0.1515151515151515,0.6505713378342332,0.8060606060606059,-0.37027604295460614,-0.19999999999999998,0,nan,nan
2.5,partial_ic_extrapolate_mse,10,0.4586269937152195,0.5030303030303029,0.2822608138255522,0.4666666666666666,0.6089734262550587,0.7818181818181817,0,nan,nan
5.0,partial_ic_extrapolate_mse,10,-0.2822690379860738,-0.17575757575757575,0.5267536894349449,0.5878787878787878,0.256619069339814,0.17575757575757575,6,-0.5257230315816237,-0.5428571428571429
7.5,partial_ic_extrapolate_mse,10,0.5726058596575279,0.18787878787878787,0.7870001394845006,0.5636363636363636,0.43229172907570035,0.24848484848484845,3,-0.423487213869637,-0.5
