train_interval,extrap_metric,n,param_extrap_log_log_pearson,param_extrap_spearman,vf_extrap_log_log_pearson,vf_extrap_spearman,param_vf_log_log_pearson,param_vf_spearman,matched_vf_n,matched_param_extrap_log_log_pearson,matched_param_extrap_spearman
1.25,same_ic_extrapolate_mse,10,0.12652040380476903,0.17575757575757575,0.7333866103714811,0.8303030303030302,-0.37027604295460614,-0.19999999999999998,0,nan,nan
2.5,same_ic_extrapolate_mse,10,0.48496570287487323,0.5151515151515151,0.21681705617327135,0.4424242424242424,0.6089734262550587,0.7818181818181817,0,nan,nan
5.0,same_ic_extrapolate_mse,10,-0.10784168928672164,0.01818181818181818,0.6672462186115505,0.6363636363636362,0.256619069339814,0.17575757575757575,6,-0.36222004288510634,-0.08571428571428573
7.5,same_ic_extrapolate_mse,10,0.5362007549409894,0.06666666666666665,0.7948403741065304,0.49090909090909085,0.43229172907570035,0.24848484848484845,3,0.027637072007079756,0.5
