train_interval,extrap_metric,n,param_extrap_log_log_pearson,param_extrap_spearman,vf_extrap_log_log_pearson,vf_extrap_spearman,param_vf_log_log_pearson,param_vf_spearman,matched_vf_n,matched_param_extrap_log_log_pearson,matched_param_extrap_spearman
1.25,same_ic_extrap_mse_h5,10,0.2329134399705642,0.33333333333333326,0.7047830187070709,0.8060606060606059,-0.37027604295460614,-0.19999999999999998,0,nan,nan
2.5,same_ic_extrap_mse_h5,10,0.368405395634785,0.6121212121212121,0.40645201341450715,0.43030303030303024,0.6089734262550587,0.7818181818181817,0,nan,nan
5.0,same_ic_extrap_mse_h5,10,0.16366419405445062,-0.07878787878787878,0.529581545142253,0.6,0.256619069339814,0.17575757575757575,6,0.1661652687148125,-0.028571428571428574
7.5,same_ic_extrap_mse_h5,10,0.545628781065747,0.11515151515151514,0.787817222135997,0.5878787878787878,0.43229172907570035,0.24848484848484845,3,-0.2799191301941799,-0.5
