training_method,prediction_method,metric,fixed_train_ratio,predict_ratio,seeds,seed_values,seed_mean,seed_std,seed_range,seed_cv,seed_log10_std,seed_log10_range,train_ratios,train_ratio_values,train_ratio_mean,train_ratio_std,train_ratio_range,train_ratio_cv,train_ratio_log10_std,train_ratio_log10_range,seed_to_train_ratio_log10_range
heun,rk4,extrapolate_mse,4,16,0;1;2;3;4,0.0212261911388;0.00877182062645;0.00769477870734;0.0402087842801;0.0397778838676,0.02353589172407648,0.015937699243902804,0.03251400557280389,0.6771657275937855,0.34562400006731764,0.7181248077735274,1;2;4;8;16,0.00854236016859;0.00854502320983;0.0212261911388;0.0136840427277;0.0101056810304,0.012420659655057582,0.0053515047485394,0.012683830970212235,0.4308551153609877,0.1679736217250581,0.39529419218511896,1.8166844390094774
rk4,rk4,extrapolate_mse,4,16,0;1;2;3;4,0.0247938629928;0.0174170538299;0.035258187911;0.00947511961555;0.00778506733716,0.018945858337276866,0.011367570601023497,0.027473120573801017,0.6000029346074687,0.2760266536979913,0.655997614677208,1;2;4;8;16,0.0303278965906;0.0146334533604;0.0247938629928;0.00805397086565;0.010520233658,0.017665883493513213,0.009536501925004584,0.022273925724968398,0.5398259265383654,0.2430665677441004,0.5758322363401169,1.1392165517627275
