training_method,prediction_method,metric,fixed_train_ratio,predict_ratio,seeds,seed_values,seed_mean,seed_std,seed_range,seed_cv,seed_log10_std,seed_log10_range,train_ratios,train_ratio_values,train_ratio_mean,train_ratio_std,train_ratio_range,train_ratio_cv,train_ratio_log10_std,train_ratio_log10_range,seed_to_train_ratio_log10_range
heun,rk4,final_mse,4,16,0;1;2;3;4,0.0278292836067;0.00221613395045;0.00344651425322;0.0650395010408;0.0541001974515,0.030526326060534736,0.02867465728829335,0.06282336709033662,0.9393419054566389,0.6866508070266425,1.4675811938086218,1;2;4;8;16,0.00223506703016;0.00331259512104;0.0278292836067;0.0136291569377;0.00659863785571,0.010720948110269172,0.010547987196567804,0.0255942165765278,0.983867013260171,0.44573624533856115,1.0952114744321342,1.3399980077542202
rk4,rk4,final_mse,4,16,0;1;2;3;4,0.0343589011946;0.0246128012992;0.0554518781342;0.00536801077859;0.00118561033103,0.02419544034750409,0.02216054721360731,0.054266267803161586,0.915897660688507,0.6854268865965315,1.6699742851701846,1;2;4;8;16,0.0429417683522;0.0156771141826;0.0343589011946;0.00278060587214;0.00751520457329,0.02065471883495134,0.01733078538066789,0.04016116248002842,0.8390714741340957,0.4890633223386728,1.1887404892379356,1.4048266213601868
