training_method,seed,metric,best_ratio,best_value,ratio_ranking_low_to_high_error,values_by_ratio
forward_euler,0,final_mse,16,0.007069488804216285,16;8;4;2;1,1:0.690921832053;2:0.121397261436;4:0.0748131356196;8:0.00719241251993;16:0.00706948880422
forward_euler,1,final_mse,16,0.0003259089461173279,16;8;4;2;1,1:0.745274162839;2:0.137991581383;4:0.0985306706891;8:0.00577420840113;16:0.000325908946117
forward_euler,2,final_mse,16,0.029752519955115374,16;8;4;2;1,1:0.707416164056;2:0.21594248126;4:0.0796098624854;8:0.0452407957927;16:0.0297525199551
forward_euler,3,final_mse,8,0.00293997208207837,8;4;16;2;1,1:0.214782020304;2:0.105119597538;4:0.0124179239125;8:0.00293997208208;16:0.0136936284332
forward_euler,4,final_mse,16,0.018529314368710643,16;8;4;2;1,1:0.689034964317;2:0.0747149647358;4:0.0459252593889;8:0.0278501744758;16:0.0185293143687
