training_method,seed,metric,best_ratio,best_value,ratio_ranking_low_to_high_error,values_by_ratio
forward_euler,0,extrapolate_mse,16,0.019217994090852574,16;8;4;2;1,1:2.43656058286;2:0.582191238623;4:0.233907111698;8:0.0460926290078;16:0.0192179940909
forward_euler,1,extrapolate_mse,16,0.008047627685202157,16;8;4;2;1,1:2.52359055539;2:0.668676929514;4:0.261533615398;8:0.0401579929221;16:0.0080476276852
forward_euler,2,extrapolate_mse,16,0.042313698494413104,16;8;4;2;1,1:2.52971577539;2:0.818420441697;4:0.24617781775;8:0.0911089543566;16:0.0423136984944
forward_euler,3,extrapolate_mse,16,0.02451433331721729,16;8;4;2;1,1:1.81327087691;2:0.56452244717;4:0.140435522086;8:0.0375781214149;16:0.0245143333172
forward_euler,4,extrapolate_mse,16,0.03629476119020648,16;8;4;2;1,1:2.40826640919;2:0.567378081977;4:0.217387417824;8:0.082362727461;16:0.0362947611902
