training_method,ratio,prediction_method,predict_ratio,n_seeds,best_loss_mean,best_loss_std,best_loss_range,best_loss_log10_range,best_epoch_mean,best_epoch_std,best_epoch_range,best_epoch_log10_range,extrapolate_mse_mean,extrapolate_mse_std,extrapolate_mse_range,extrapolate_mse_log10_range,final_mse_mean,final_mse_std,final_mse_range,final_mse_log10_range,residual_mean_abs_mean,residual_mean_abs_std,residual_mean_abs_range,residual_mean_abs_log10_range,residual_l2_norm_mean,residual_l2_norm_std,residual_l2_norm_range,residual_l2_norm_log10_range,residual_rms_mean,residual_rms_std,residual_rms_range,residual_rms_log10_range
heun,4,rk4,16,5,0.17348829034428112,0.0009040161188999933,0.002035835943614811,0.005094487031193196,11380.0,5291.219141180981,13000.0,0.45193770870141314,0.02353589172407648,0.015937699243902804,0.03251400557280389,0.7181248077735274,0.030526326060534736,0.02867465728829335,0.06282336709033662,1.4675811938086218,8.257264405450261,0.0034087665069997327,0.009140963794898482,0.000480735314621894,651.9156380266108,0.15113145647114676,0.40699764662031157,0.00027112001450246836,16.21700761789878,0.0037595354949852685,0.010124444867880555,0.00027112001450246836
rk4,4,rk4,16,5,0.17330723911558563,0.000795280328735112,0.0019192214974585176,0.0048058972865754335,12140.0,5687.5302196999355,13300.0,0.4090375678903122,0.018945858337276866,0.011367570601023497,0.027473120573801017,0.655997614677208,0.02419544034750409,0.02216054721360731,0.054266267803161586,1.6699742851701846,8.256412437754273,0.002091003833176472,0.005493882199104405,0.0002889622801190983,651.956559394542,0.2168005782318233,0.4351536423265543,0.0002898609636097227,16.21802557497292,0.0053931159549922255,0.010824851439256378,0.0002898609636097227
