train_interval,outcome,n,parameter_extrap_spearman,vf_extrap_spearman,parameter_extrap_partial_spearman_given_vf_and_reg,standardized_beta_parameter_given_vf,standardized_beta_vf_given_parameter,regression_r_squared,oracle_gain_median,oracle_gain_q25,oracle_gain_q75
1.25,same_ic_extrap_mse_h2p5,40,0.16566604127579737,0.26829268292682934,0.3590972823143571,0.432121601797553,1.3193922221861536,0.6804040480187854,0.00046124494284982,0.0003004778815799948,0.0006299586613565723
1.25,same_ic_extrap_mse_h5,40,0.20544090056285183,0.11125703564727957,0.4518985150531068,0.3912019299283585,1.43434441987271,0.7593117136180688,0.0033502181700730514,0.002182043513725376,0.004129405072719167
1.25,same_ic_extrap_mse_h10,40,0.14333958724202628,0.46566604127579747,0.3495325134303851,0.32746156142735094,1.248724985763199,0.6928080593374623,0.0038983026747085123,0.0032922236663683376,0.00439396150647043
1.25,candidate_ic_extrap_mse_h2p5,40,0.18048780487804877,0.31125703564727963,0.36798103650000735,0.39497122024331616,1.281734393889029,0.6669704381071961,0.00024359907097611913,0.00015411213290470726,0.0003098082531640297
1.25,candidate_ic_extrap_mse_h5,40,0.18442776735459665,0.008067542213883679,0.4448220237843743,0.3896587505030856,1.4654736415392193,0.7969228333941428,0.005782795078494564,0.0036575522882932063,0.007313463565079918
1.25,candidate_ic_extrap_mse_h10,40,0.20168855534709193,0.19118198874296438,0.44816033218449247,0.3605794092168241,1.4090545888043047,0.7500351532944185,0.0055918306107503,0.004097098959485745,0.007163751675527636
2.5,same_ic_extrap_mse_h2p5,40,0.48780487804878064,0.6896810506566605,0.4174697451054141,0.1096718270652188,0.6637987634801265,0.5321479694542113,0.00020066946741242322,0.00012990546023130243,0.00035435040377648525
2.5,same_ic_extrap_mse_h5,40,0.4566604127579738,0.6560975609756098,0.368851679760036,0.10400685665114041,0.6416741801649454,0.49341739996712997,0.0007789592626754824,0.0004931502834099935,0.0013094404374862432
2.5,same_ic_extrap_mse_h10,40,0.40919324577861166,0.5990619136960601,0.3894276198594111,0.24002784375485003,0.49398167233257856,0.4523349761997826,0.0008579280217055321,0.0007118330900504804,0.0014550144201359208
2.5,candidate_ic_extrap_mse_h2p5,40,0.5174484052532834,0.8039399624765479,0.3522203070094246,0.14932051880829617,0.720629889298235,0.6502322117624362,4.5302136078056396e-05,3.043606034650846e-05,7.909819060128819e-05
2.5,candidate_ic_extrap_mse_h5,40,0.4356472795497186,0.601125703564728,0.3291634433103396,0.10858353227890108,0.5852475626746046,0.41794563787919636,0.0017562313961106087,0.0009872954169767548,0.00316473185895148
2.5,candidate_ic_extrap_mse_h10,40,0.5303939962476548,0.6596622889305817,0.52430899965735,0.26699494303490445,0.5276659000196591,0.4960329898741789,0.0015639301782610208,0.0012854632413564664,0.00248859450360851
5.0,same_ic_extrap_mse_h2p5,4,-0.39999999999999997,0.39999999999999997,-0.21821789023599214,-0.04302577996974902,0.6877046405536642,0.5115012329393316,3.949759983365298e-05,3.111395404977805e-05,7.407954234857272e-05
5.0,same_ic_extrap_mse_h5,4,-0.39999999999999997,0.39999999999999997,-0.21821789023599214,-0.07807446367254861,0.6628146666847672,0.5096259236385923,3.2900541914173014e-05,2.5397108202367856e-05,6.176376403823144e-05
5.0,same_ic_extrap_mse_h10,4,-0.39999999999999997,0.39999999999999997,-0.21821789023599214,-0.16696888386683056,0.597560169053075,0.5087504729927566,0.0001227697186058957,9.569369872931701e-05,0.00021445107697162056
5.0,candidate_ic_extrap_mse_h2p5,4,0.19999999999999998,0.19999999999999998,0.4082482904638634,0.14809002759179088,0.3555546125264274,0.08301960893423688,8.665527399477374e-05,5.364187495146543e-05,0.00018555587616480223
5.0,candidate_ic_extrap_mse_h5,4,0.19999999999999998,0.19999999999999998,0.4082482904638634,0.11901565374554005,0.37746802777647437,0.10090700669361707,7.590046338920207e-05,4.912633487151337e-05,0.00015905161597386684
5.0,candidate_ic_extrap_mse_h10,4,-0.39999999999999997,0.39999999999999997,-0.21821789023599214,-0.17744413234394343,0.4864590134708345,0.37522874674122675,0.0006683824330924657,0.0005711069945482551,0.0009215037265472533
