training_config,training_method,ratio,regularization_profile,l2_weight,ortho_weight,n_runs,seeds,best_loss_mean,best_loss_std,best_loss_min,best_loss_max,best_loss_median,best_loss_range,validation_mse_mean,validation_mse_std,validation_mse_min,validation_mse_max,validation_mse_median,validation_mse_range,extrapolate_mse_mean,extrapolate_mse_std,extrapolate_mse_min,extrapolate_mse_max,extrapolate_mse_median,extrapolate_mse_range,final_mse_mean,final_mse_std,final_mse_min,final_mse_max,final_mse_median,final_mse_range,residual_mse_mean,residual_mse_std,residual_mse_min,residual_mse_max,residual_mse_median,residual_mse_range,model_vf_rel_error_mean,model_vf_rel_error_std,model_vf_rel_error_min,model_vf_rel_error_max,model_vf_rel_error_median,model_vf_rel_error_range
forward_euler_ratio1,forward_euler,1,none,0.0,0.0,3,0;1;2,0.009153020708077775,0.0028514053845779203,0.006886523531639056,0.01235454287082649,0.008217995721767775,0.005468019339187434,6.403198887057663,0.06668252627578225,6.346791890809631,6.476792333311483,6.3860124370518765,0.13000044250185194,234.50563177453606,2.5362250680253373,231.75108506830114,236.74417856162086,235.02163169368617,4.993093493319719,236.36805462228904,3.0213529690087277,232.88204943974196,238.2310558126338,237.99105861449135,5.349006372891836,0.9714511434898233,0.2756571330958565,0.6914657848178787,1.2425659194519312,0.98032172619966,0.5511001346340525,0.03532960083527078,0.005122622759874508,0.0300148339110832,0.04023558460559091,0.035738383989138235,0.010220750694507709
forward_euler_ratio1,forward_euler,1,l2_small,1e-05,0.0,3,0;1;2,0.007662867103654526,0.0012916148056878079,0.006361898174354322,0.00894492000483274,0.007681783131776515,0.0025830218304784183,6.365961157261499,0.05674990387858075,6.301574780856896,6.4087064774920535,6.38760221343555,0.10713169663515743,233.71022651403882,2.2005397113349487,231.50394369053424,235.9049777911705,233.72175806041176,4.401034100636252,235.70465690262486,2.805574141509084,232.5595571275174,237.9498930595261,236.6045205208311,5.390335932008696,1.057092462443598,0.28684096379605245,0.8343332486950269,1.3807489828742971,0.9561951557614701,0.5464157341792703,0.03689328408063356,0.00492036497203461,0.032970108195247566,0.04241387605356725,0.03529586799308586,0.009443767858319685
forward_euler_ratio1,forward_euler,1,ortho_small,0.0,0.001,3,0;1;2,0.006728270479867144,0.002354331418474165,0.004256191152845556,0.008943847931673491,0.006984772355082384,0.004687656778827935,6.460895162323815,0.026323384298133676,6.430736716764943,6.479256409175627,6.472692361030874,0.0485196924106841,231.9895046379654,1.406219834525496,230.45495648682177,233.21648046671982,232.29707696035464,2.761523979898044,234.3885620335003,1.7371010715048711,232.72984363507223,236.19465563297908,234.24118683244956,3.4648119979068497,1.0942036736355527,0.18503819169537955,0.9087461083538549,1.2788196207540077,1.095045291798795,0.37007351240015274,0.037666342177733826,0.003205971175702624,0.03440898634613081,0.040818330934820665,0.03777170925225,0.006409344588689858
forward_euler_ratio1,forward_euler,1,l2_plus_ortho,1e-05,0.001,3,0;1;2,0.008175428537651672,0.004580189854533564,0.004231605633362012,0.013199033745446368,0.007095646234146635,0.008967428112084355,6.413292993902652,0.08791320736705277,6.330045075431005,6.505226694562636,6.404607211714316,0.17518161913163155,231.24747250315082,2.269892679698132,228.7221222954998,233.11790374547664,231.90239146847608,4.395781449976852,234.01533182944206,2.1810866558581834,231.49879348259722,235.35971175717106,235.18749024855788,3.8609182745738337,1.0211578382791509,0.24751556058800567,0.7463831353227433,1.2266487850707313,1.090441594443978,0.480265649747988,0.03628441728842607,0.004562451805256157,0.03118397731595608,0.039977047245165494,0.03769222730415662,0.008793069929209415
forward_euler_ratio2,forward_euler,2,none,0.0,0.0,3,0;1;2,0.0034346823716776428,0.0005344782659691408,0.003048357800525443,0.004044656378641747,0.0032110329358657386,0.000996298578116304,1.680681621577594,0.01444494880197817,1.6647202998233266,1.692855574930138,1.6844689899793177,0.028135275106811353,96.72187015446582,1.559307645108837,95.17986037135479,98.29791833907288,96.68783175296976,3.1180579677180873,100.24580316367881,1.6099260626948102,98.80316112199156,101.98248120646662,99.95176716257826,3.1793200844750515,0.19223433945712384,0.021798571472334143,0.16706923514343494,0.2052815010147848,0.2043522822131518,0.03821226587134985,0.015808228782539253,0.0009134986820637548,0.0147536283467434,0.01635405689148326,0.016317001109391095,0.0016004285447398618
forward_euler_ratio2,forward_euler,2,l2_small,1e-05,0.0,3,0;1;2,0.0036926229216310154,0.0005329762262225805,0.0030787410299145885,0.004037318668315869,0.003961809066662589,0.0009585776384012801,1.6682705594286384,0.009764377217065707,1.6620312141925522,1.6795232505949114,1.6632572134984522,0.01749203640235919,96.65375242701488,2.009928841928058,94.5188328813909,98.50950329447326,96.93292110518045,3.9906704130823556,100.45511362824179,1.5943081726990975,98.96426069336046,102.13586714781552,100.26521304354938,3.171606454455059,0.17163266745458175,0.012227878770197521,0.1624510016249606,0.18551294484489905,0.16693405589388555,0.023061943219938458,0.014947541622908412,0.0005283597962286089,0.014548284777567484,0.015546681688534429,0.014747658402623324,0.0009983969109669446
forward_euler_ratio2,forward_euler,2,ortho_small,0.0,0.001,3,0;1;2,0.0032886549921037605,0.0011582563479709959,0.002083690531690718,0.004393733734903871,0.0033885407097166923,0.002310043203213153,1.6582117129687284,0.03271248314189293,1.6215035241683975,1.6842786673804635,1.6688529473573246,0.06277514321206601,98.76246347122726,10.605960717173819,91.76221792610369,110.96510452674701,93.56006796083113,19.202886600643325,101.43628952933138,6.36850233935191,97.37043836854816,108.77576415784259,98.16266606160337,11.405325789294423,0.2324899481445543,0.04555163695821633,0.18257950410800222,0.2718209244605635,0.24306941586509712,0.08924142035256127,0.01734593598809692,0.0017418782863211717,0.015423275223699542,0.01881880488609119,0.01779572785450003,0.0033955296623916498
forward_euler_ratio2,forward_euler,2,l2_plus_ortho,1e-05,0.001,3,0;1;2,0.003039235367715156,0.0011180634552917753,0.0017889496319593735,0.003943044836180918,0.0033857116350051774,0.002154095204221544,1.6564863633048634,0.031733554477872565,1.62053818200019,1.6806098177832274,1.668311090131173,0.060071635783037314,98.4354365249369,10.509510247765258,91.78032004446817,110.55116147509594,92.97482805524662,18.77084143062777,101.1916817538397,6.284229033989714,97.36727434636464,108.44448144846407,97.76328946669037,11.077207102099436,0.22888291084652657,0.04596404287618838,0.18186291698694632,0.2737126960165376,0.23107311953609577,0.09184977902959127,0.017209396038685477,0.001749903450657099,0.015392978871149645,0.01888417724897514,0.017351031995931646,0.0034911983778254958
forward_euler_ratio4,forward_euler,4,none,0.0,0.0,3,0;1;2,0.002442571082986302,0.0013901909020010688,0.0014782048906484583,0.004036117814206057,0.0018133905441043905,0.002557912923557599,0.4063073874325462,0.013775566636625559,0.39732127093731406,0.42216721826127335,0.39943367309905115,0.024845947323959283,31.16991309808415,2.1256998413596224,29.873032802074043,33.62311803378922,30.01358845838919,3.7500852317151754,33.421257042661814,2.178661381687867,31.55736403603428,35.81641664082603,32.88999045112515,4.259052604791748,0.05015724795813754,0.01009958469259215,0.03849659715394529,0.056140962016462084,0.05583418470400526,0.017644364862516797,0.008054531802470318,0.000842235955335269,0.007082095326088418,0.0085524495710355,0.008529050510287038,0.0014703542449470827
forward_euler_ratio4,forward_euler,4,l2_small,1e-05,0.0,3,0;1;2,0.0022532424653203126,0.0010045965636779172,0.0015413898468277542,0.003402367137469873,0.0018159704116633103,0.0018609772906421189,0.4065584556930457,0.009730968594368056,0.3991751381458654,0.41758542061448695,0.40291480831878473,0.01841028246862153,31.27301622704422,2.166141367016598,29.46677032870834,33.67456342787093,30.67771492455339,4.20779309916259,33.52634015904008,2.0043687067229197,32.29094211355762,35.83898391964261,32.44909444392002,3.5480418060849885,0.049303194438412475,0.011301801031722708,0.03639919285557907,0.057442134447265064,0.05406825601239329,0.021042941591685994,0.007976848830083419,0.0009530623627758767,0.006886467046249767,0.008650991424015937,0.008393088019984554,0.0017645243777661699
forward_euler_ratio4,forward_euler,4,ortho_small,0.0,0.001,3,0;1;2,0.0038646903416998356,0.000793364623339776,0.0033455917844889896,0.004777944401910287,0.00347053483870023,0.0014323526174212977,0.40833755637449537,0.013897398961162627,0.3984705909033664,0.42423096347929645,0.4023111147408234,0.025760372575930057,32.18961482144035,1.6249393447608613,30.473269562397434,33.70432921503515,32.39124568688845,3.231059652637718,33.854285764202075,1.4927332999853957,32.137557592952255,34.846388379851945,34.57891131980201,2.7088307868996893,0.03994514391335167,0.0021116684503835314,0.038270803870181454,0.04231743044817698,0.03924719742169657,0.004046626577995524,0.007212445328906717,0.0001896385192407241,0.007061295549532708,0.007425235655503006,0.007150804781684437,0.00036394010597029774
