seed,training_method,ratio,h_model,epoch,loss,gradient_norm
0,forward_euler,1,0.05,0,1.9576351717931202,17.76871585322597
0,forward_euler,1,0.05,50,0.07160747609298254,0.49312973352859024
0,forward_euler,1,0.05,100,0.06690352572886961,0.036267481657833105
0,forward_euler,1,0.05,150,0.06210347368198776,0.04210540864157492
0,forward_euler,1,0.05,200,0.05420556157781462,0.055193985416443984
0,forward_euler,1,0.05,250,0.04426581677047179,0.05194449217261253
0,forward_euler,1,0.05,300,0.04015650001924805,0.043111551387383144
0,forward_euler,1,0.05,350,0.039167030637433466,0.027435319348511313
0,forward_euler,1,0.05,400,0.038907745679285254,0.01889606521866984
0,forward_euler,1,0.05,450,0.03878778510341829,0.014833489776279674
0,forward_euler,1,0.05,500,0.038684077490746135,0.012331761996318955
0,forward_euler,1,0.05,550,0.038582035186657114,0.010383463359227213
0,forward_euler,1,0.05,600,0.03847938226498324,0.008713275832752228
0,forward_euler,1,0.05,650,0.038374653831202185,0.00725612846351649
0,forward_euler,1,0.05,700,0.03826618031877298,0.006005716141001893
0,forward_euler,1,0.05,750,0.03815173128128261,0.004980055430664125
0,forward_euler,1,0.05,800,0.03802799322951393,0.004216262689516683
0,forward_euler,1,0.05,850,0.03788967632060524,0.0037630880626039857
0,forward_euler,1,0.05,900,0.037727890994217764,0.003657078565116362
0,forward_euler,1,0.05,950,0.03752703571138458,0.003906198907483263
0,forward_euler,1,0.05,1000,0.037258706850415886,0.004543968661542717
0,forward_euler,1,0.05,1050,0.03687047509772676,0.005767158299738201
0,forward_euler,1,0.05,1100,0.03627070631891568,0.008045251975264364
0,forward_euler,1,0.05,1150,0.03533220091724636,0.011651168993550735
0,forward_euler,1,0.05,1200,0.033972405662959754,0.01498494420370249
0,forward_euler,1,0.05,1250,0.032307869068277525,0.01556761049404021
0,forward_euler,1,0.05,1300,0.030687089870996172,0.014443286322979568
0,forward_euler,1,0.05,1350,0.029397367416006202,0.012332263222526096
0,forward_euler,1,0.05,1400,0.0284846427121359,0.010061209706188678
0,forward_euler,1,0.05,1450,0.027785524354366497,0.008538105279000787
0,forward_euler,1,0.05,1500,0.027098894907074875,0.007965471380112818
0,forward_euler,1,0.05,1550,0.026284905337601795,0.00814030102257012
0,forward_euler,1,0.05,1600,0.02517708048427401,0.009085346474787644
0,forward_euler,1,0.05,1650,0.02322510700669436,0.010984664446876758
0,forward_euler,1,0.05,1700,0.019245223247638672,0.011443943716629641
0,forward_euler,1,0.05,1750,0.014993421117590866,0.011345825650871244
0,forward_euler,1,0.05,1800,0.01307709176620709,0.012587655528994553
0,forward_euler,1,0.05,1850,0.01142634758976712,0.012821204686636561
0,forward_euler,1,0.05,1900,0.009695571810257809,0.013677526079573994
0,forward_euler,1,0.05,1950,0.008434658951792972,0.013626839568287148
0,forward_euler,1,0.05,2000,0.007725670302166272,0.012066145486254058
0,forward_euler,1,0.05,2050,0.007226309738159043,0.010243725387050798
0,forward_euler,1,0.05,2100,0.006823702227962945,0.0087920239540536
0,forward_euler,1,0.05,2150,0.0064736842455331515,0.007561190054955331
0,forward_euler,1,0.05,2200,0.006149114520334849,0.006478556761785486
0,forward_euler,1,0.05,2250,0.005829314796306121,0.0055261104298173925
0,forward_euler,1,0.05,2300,0.0055307803761040055,0.05813275172373839
0,forward_euler,1,0.05,2350,0.005213287142321592,0.005265957079076585
0,forward_euler,1,0.05,2400,0.004897137946978094,0.003811261585175992
0,forward_euler,1,0.05,2450,0.004548861744709592,0.0036442241081394823
0,forward_euler,1,0.05,2500,0.004198346463225725,0.05870008848804682
0,forward_euler,1,0.05,2550,0.003802795875020935,0.020795830395909102
0,forward_euler,1,0.05,2600,0.0033555434337837775,0.005158534726069705
0,forward_euler,1,0.05,2650,0.00301933979257965,0.13296388908221715
0,forward_euler,1,0.05,2700,0.002555239750904791,0.012141721740023268
0,forward_euler,1,0.05,2750,0.0021656056294798104,0.004717707586494119
0,forward_euler,1,0.05,2800,0.002091427324653911,0.1849100931875677
0,forward_euler,1,0.05,2850,0.0017402177389217548,0.01895929557391188
