training_method,nominal_order,ratio,h_model,n_seeds,initial_matched_train_mse_mean,initial_matched_train_mse_std,matched_train_mse_mean,matched_train_mse_std,initial_continuous_train_mse_mean,initial_continuous_train_mse_std,continuous_train_mse_mean,continuous_train_mse_std,continuous_validation_mse_mean,continuous_validation_mse_std,continuous_extrapolation_mse_mean,continuous_extrapolation_mse_std,correction_mse_mean,correction_mse_std,correction_rms_mean,correction_rms_std,correction_relative_to_true_vf_mean,correction_relative_to_true_vf_std,model_vf_rel_error_mean,model_vf_rel_error_std,empirical_correction_order
forward_euler,1,1,0.05,5,1.9576351717931204,2.482534153247273e-16,3.9818281875536696e-05,4.9645276283980635e-06,2.445037906605515e-16,0.0,1.7907578794117875,0.0017536949312314514,1.6179156860987907,0.0022954754223031416,3.0698183515181454,0.09376260943844851,0.3816382274083719,0.009547603565400757,0.6177300991659228,0.007725929784738529,0.029288038668974066,0.0003663045245726676,0.02928803866897407,0.00036630452457266766,0.9169248126791348
forward_euler,1,2,0.025,5,0.4811551638293863,0.0,9.79330749180474e-06,2.6324127138798354e-06,2.445037906605515e-16,0.0,0.4600709505777251,0.0008405829270646564,0.4156078173995703,0.0011560713131316097,0.8610989424940602,0.021701532297762425,0.10931453533232956,0.0037759562038764,0.33058889370075,0.00564786398160767,0.015673997940709457,0.00026777853129348873,0.015673997940709457,0.0002677785312934888,0.9169248126791348
forward_euler,1,4,0.0125,5,0.1190970091894377,0.0,3.2507164487481728e-06,5.02129400734009e-07,2.445037906605515e-16,0.0,0.11639034326933881,7.612886156162073e-05,0.10513864850006138,0.00012983249048461375,0.22262359858053427,0.0036116780887009477,0.030160491106942577,0.004431596080053204,0.17328262498319918,0.012923959623241147,0.008215737306668119,0.0006127553598453942,0.00821573730666812,0.0006127553598453942,0.9169248126791348
heun,2,1,0.05,5,3.4887000886791745e-05,0.0,1.9368786344696927e-06,3.4238573378585215e-07,2.445037906605515e-16,0.0,3.280420125144462e-05,4.7367596010285987e-07,3.1064341930464824e-05,9.467783901506003e-07,0.00012781833684517347,4.179871983894505e-06,3.083387503520835e-05,2.5983900618024102e-05,0.005120089696587955,0.0024027475247365804,0.0002427555096064779,0.00011391991828030511,0.00024275550960647756,0.0001139199182803055,1.4971004024631682
heun,2,2,0.025,5,2.2379893093944883e-06,0.0,4.1016358875281743e-07,9.026780920594257e-08,2.445037906605515e-16,0.0,1.7714081979356003e-06,1.0172485702765184e-07,1.5923516160748724e-06,2.37806269129262e-07,3.0614666509377897e-06,1.7271138334258116e-06,4.290565710615702e-06,1.607421067039191e-06,0.0020354539269728097,0.00042937894363060823,9.65056638855512e-05,2.0357866844559663e-05,9.650566388555162e-05,2.0357866844558975e-05,1.4971004024631682
heun,2,4,0.0125,5,1.416942759831664e-07,0.0,3.488259225436253e-08,5.448932310312861e-10,2.445037906605515e-16,0.0,1.053944303134767e-07,3.5337242995484463e-10,8.459827391588821e-08,9.218531176007867e-10,1.2529770364519854e-07,6.655118504627987e-09,4.12971012279244e-07,1.0118663130321599e-08,0.0006425890399709492,7.932369480307868e-06,3.0466659591850274e-05,3.7609231667606333e-07,3.0466659591849878e-05,3.760923166761638e-07,1.4971004024631682
rk4,4,1,0.05,5,7.237449588644495e-12,0.0,4.187946076350559e-13,4.2515583484822974e-14,2.445037906605515e-16,0.0,6.948350174860537e-12,1.894898773595963e-13,6.6568932345882925e-12,4.388577840996464e-13,9.303033581079248e-12,7.126916547277881e-13,1.0734170457318092e-12,6.369300103458377e-13,9.993861727715692e-07,3.0545933322785467e-07,4.7383251865002214e-08,1.4482546302108322e-08,4.738325186471491e-08,1.4482546301813776e-08,nan
rk4,4,2,0.025,5,2.8226542494728283e-14,0.0,2.8226542494728283e-14,0.0,2.445037906605515e-16,0.0,2.445037906605515e-16,0.0,3.0942580948944177e-16,0.0,3.806955082986343e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
rk4,4,4,0.0125,5,1.1031058233380338e-16,0.0,1.1031058233380338e-16,0.0,2.445037906605515e-16,0.0,2.445037906605515e-16,0.0,3.0942580948944177e-16,0.0,3.806955082986343e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
