training_config,training_method,ratio,n_runs,seeds,best_loss_mean,best_loss_std,best_loss_min,best_loss_max,best_loss_median,best_loss_range,validation_mse_mean,validation_mse_std,validation_mse_min,validation_mse_max,validation_mse_median,validation_mse_range,extrapolate_mse_mean,extrapolate_mse_std,extrapolate_mse_min,extrapolate_mse_max,extrapolate_mse_median,extrapolate_mse_range,final_mse_mean,final_mse_std,final_mse_min,final_mse_max,final_mse_median,final_mse_range,residual_mse_mean,residual_mse_std,residual_mse_min,residual_mse_max,residual_mse_median,residual_mse_range,model_vf_rel_error_mean,model_vf_rel_error_std,model_vf_rel_error_min,model_vf_rel_error_max,model_vf_rel_error_median,model_vf_rel_error_range
euler_ratio1,forward_euler,1,5,0;1;2;3;4,0.007862498164751128,0.002681365917476212,0.005867536068461226,0.01235454287082649,0.006886523531639056,0.0064870068023652645,6.429879236626386,0.059679598976497335,6.346791890809631,6.476792333311483,6.467189445811254,0.13000044250185194,236.52483641214917,3.3654222198049486,231.75108506830114,240.51813453355683,236.74417856162086,8.767049465255695,237.5988692932602,2.8194385638912385,232.88204943974196,240.4886434255038,238.2310558126338,7.606593985761833,1.0268382809372576,0.22140218352157306,0.6914657848178787,1.2425659194519312,1.0072204356104193,0.5511001346340525,0.03639238447336516,0.004097481159658885,0.0300148339110832,0.04023558460559091,0.03622537260734078,0.010220750694507709
euler_ratio16,forward_euler,16,5,0;1;2;3;4,0.0012561715285768042,0.0004956883612408961,0.0007373527799222263,0.002064363013263766,0.0012249646615560116,0.0013270102333415397,0.025786912807538635,0.0013631917719474286,0.02498890817827006,0.028205376172640108,0.025222673368416885,0.0032164679943700487,0.6994903590671631,0.10570935386177609,0.6116718968372991,0.8780020131599877,0.6889103098899438,0.26633011632268866,1.0308700198861775,0.09034708445492223,0.9475753435702192,1.1811944429766439,1.011895760943405,0.23361909940642467,0.004406634733855046,0.0018221106767894247,0.002920672809281094,0.0074527468338123175,0.004026843714875671,0.004532074024531223,0.0023597269608571824,0.00046497623145293356,0.0019507070370948676,0.0031160813084643675,0.002290514177322818,0.0011653742713694998
heun_ratio1,heun,1,5,0;1;2;3;4,0.0012799004242429184,0.0009971603640225614,0.0005322865671064916,0.0029866945472607886,0.0010409235032762488,0.0024544079801542967,0.0013469438817748432,0.000615430918089233,0.0006581554950079105,0.002087312232461602,0.001583124056907369,0.0014291567374536914,0.2851553740277155,0.17951595769882667,0.14045034788970198,0.591435759313886,0.23415800001602805,0.450985411424184,0.30740095653525656,0.20823189076018475,0.149190552070305,0.6650358031077671,0.24117154759234616,0.5158452510374621,0.003166864164491065,0.0016712471321995359,0.0013854522982762521,0.005267939684211375,0.002374036813132727,0.003882487385935123,0.001973262227204103,0.0005388060171277108,0.001343526959898288,0.002619817228487251,0.0017587103582756881,0.0012762902685889627
rk4_ratio4,rk4,4,5,0;1;2;3;4,0.001083608816460576,0.0009183337871658999,0.00033397080439555744,0.002658354466190062,0.0006898262540929803,0.002324383661794505,0.001083609497526702,0.0009183316794765573,0.00033397200336423465,0.0026583505666534224,0.0006898232537665114,0.0023243785632891876,0.7776135128674776,0.16269503875528665,0.5882036248894639,0.9058803911312142,0.8871659776200407,0.31767676624175034,0.7937904152585954,0.1797441882552454,0.5843944822454008,0.9432212966917127,0.8974199492152964,0.3588268144463119,0.0018213884037176493,0.0009195012631714555,0.0005885288508464519,0.0027701266982042326,0.0018039406701054628,0.0021815978473577807,0.0014930739922200949,0.00042391473633373526,0.000875657911320211,0.0018997673234556816,0.0015330690704444204,0.0010241094121354708
diffrax_tsit5,diffrax_tsit5,adaptive,5,0;1;2;3;4,0.0008702206802573241,0.0005247151227011312,0.00034073423619751845,0.0016710979073678023,0.0006558978475593142,0.0013303636711702838,0.0008702206802573241,0.0005247151227011314,0.0003407342361975185,0.0016710979073678025,0.0006558978475593143,0.001330363671170284,0.7870962623832745,0.17786689553566606,0.5747647800797985,0.9622354827505555,0.8725649081606293,0.387470702670757,0.7991166982937143,0.19046461357959737,0.5713171612930869,0.9682902080557001,0.8856564169310857,0.39697304676261325,0.0018448527890389463,0.0011215423992701962,0.0005201230983298835,0.003229811688497196,0.0014008889018626818,0.0027096885901673126,0.0014855513203366976,0.0004959098144612113,0.0008231967883537234,0.0020513473177183696,0.0013509909639854052,0.0012281505293646462
